Name,National №,Type,Species,Height,Weight,Abilities,Local №,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
Metapod,0011,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),1. Shed Skin,0011 (Red/Blue/Yellow)0025 (Gold/Silver/Crystal)0011 (FireRed/LeafGreen)0025 (HeartGold/SoulSilver)0024 (X/Y — Central Kalos)0018 (Sun/Moon — Alola dex)0018 (U.Sun/U.Moon — Alola dex)0011 (Let's Go Pikachu/Let's Go Eevee)0014 (Sword/Shield),2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15				(3,599–3,855 steps)",50,20,55,25,25,30,205
Butterfree,0012,Bug Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),1. Compound EyesTinted Lens (hidden ability),0012 (Red/Blue/Yellow)0026 (Gold/Silver/Crystal)0012 (FireRed/LeafGreen)0026 (HeartGold/SoulSilver)0025 (X/Y — Central Kalos)0019 (Sun/Moon — Alola dex)0019 (U.Sun/U.Moon — Alola dex)0012 (Let's Go Pikachu/Let's Go Eevee)0015 (Sword/Shield),"2 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15				(3,599–3,855 steps)",60,45,50,90,80,70,395
Weedle,0013,Bug Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),1. Shield DustRun Away (hidden ability),0013 (Red/Blue/Yellow)0027 (Gold/Silver/Crystal)0013 (FireRed/LeafGreen)0027 (HeartGold/SoulSilver)0026 (X/Y — Central Kalos)0013 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),39,Medium Fast,Bug,"50% male, 50% female","15				(3,599–3,855 steps)",40,35,30,20,20,50,195
Kakuna,0014,Bug Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,0014 (Red/Blue/Yellow)0028 (Gold/Silver/Crystal)0014 (FireRed/LeafGreen)0028 (HeartGold/SoulSilver)0027 (X/Y — Central Kalos)0014 (Let's Go Pikachu/Let's Go Eevee),2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15				(3,599–3,855 steps)",45,25,50,25,25,35,205
Beedrill,0015,Bug Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. SwarmSniper (hidden ability),0015 (Red/Blue/Yellow)0029 (Gold/Silver/Crystal)0015 (FireRed/LeafGreen)0029 (HeartGold/SoulSilver)0028 (X/Y — Central Kalos)0015 (Let's Go Pikachu/Let's Go Eevee),"2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15				(3,599–3,855 steps)",65,90,40,45,80,75,395
Pidgey,0016,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0016 (Red/Blue/Yellow)0010 (Gold/Silver/Crystal)0016 (FireRed/LeafGreen)0010 (HeartGold/SoulSilver)0017 (X/Y — Central Kalos)0016 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),50,Medium Slow,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",40,45,40,35,35,56,251
Pidgeotto,0017,Normal Flying,Bird Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0017 (Red/Blue/Yellow)0011 (Gold/Silver/Crystal)0017 (FireRed/LeafGreen)0011 (HeartGold/SoulSilver)0018 (X/Y — Central Kalos)0017 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),122,Medium Slow,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",63,60,55,50,50,71,349
Pidgeot,0018,Normal Flying,Bird Pokémon,1.5 m (4′11″),39.5 kg (87.1 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),0018 (Red/Blue/Yellow)0012 (Gold/Silver/Crystal)0018 (FireRed/LeafGreen)0012 (HeartGold/SoulSilver)0019 (X/Y — Central Kalos)0018 (Let's Go Pikachu/Let's Go Eevee),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",83,80,75,70,70,101,479
Rattata,0019,Normal,Mouse Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),1. Run Away2. GutsHustle (hidden ability),0019 (Red/Blue/Yellow)0017 (Gold/Silver/Crystal)0019 (FireRed/LeafGreen)0017 (HeartGold/SoulSilver)0059 (Black 2/White 2)0015 (Sun/Moon — Alola dex)0015 (U.Sun/U.Moon — Alola dex)0019 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15				(3,599–3,855 steps)",30,56,35,25,35,72,253
Raticate,0020,Normal,Mouse Pokémon,0.7 m (2′04″),18.5 kg (40.8 lbs),1. Run Away2. GutsHustle (hidden ability),0020 (Red/Blue/Yellow)0018 (Gold/Silver/Crystal)0020 (FireRed/LeafGreen)0018 (HeartGold/SoulSilver)0060 (Black 2/White 2)0016 (Sun/Moon — Alola dex)0016 (U.Sun/U.Moon — Alola dex)0020 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"127 (16.6% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15				(3,599–3,855 steps)",55,81,60,50,70,97,413
Spearow,0021,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),1. Keen EyeSniper (hidden ability),0021 (Red/Blue/Yellow)0013 (Gold/Silver/Crystal)0021 (FireRed/LeafGreen)0013 (HeartGold/SoulSilver)0109 (X/Y — Mountain Kalos)0073 (Sun/Moon — Alola dex)0087 (U.Sun/U.Moon — Alola dex)0021 (Let's Go Pikachu/Let's Go Eevee),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",40,60,30,31,31,70,262
Fearow,0022,Normal Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),1. Keen EyeSniper (hidden ability),0022 (Red/Blue/Yellow)0014 (Gold/Silver/Crystal)0022 (FireRed/LeafGreen)0014 (HeartGold/SoulSilver)0110 (X/Y — Mountain Kalos)0074 (Sun/Moon — Alola dex)0088 (U.Sun/U.Moon — Alola dex)0022 (Let's Go Pikachu/Let's Go Eevee),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",65,90,65,61,61,100,442
Ekans,0023,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),0023 (Red/Blue/Yellow)0050 (Gold/Silver/Crystal)0023 (FireRed/LeafGreen)0050 (HeartGold/SoulSilver)0037 (X/Y — Mountain Kalos)0061 (U.Sun/U.Moon — Alola dex)0023 (Let's Go Pikachu/Let's Go Eevee)0018 (The Teal Mask),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20				(4,884–5,140 steps)",35,60,44,40,54,55,288
Arbok,0024,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),0024 (Red/Blue/Yellow)0051 (Gold/Silver/Crystal)0024 (FireRed/LeafGreen)0051 (HeartGold/SoulSilver)0038 (X/Y — Mountain Kalos)0062 (U.Sun/U.Moon — Alola dex)0024 (Let's Go Pikachu/Let's Go Eevee)0019 (The Teal Mask),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20				(4,884–5,140 steps)",60,95,69,65,79,80,448
Pikachu,0025,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. StaticLightning Rod (hidden ability),0025 (Yellow/Red/Blue)0022 (Gold/Silver/Crystal)0156 (Ruby/Sapphire/Emerald)0025 (FireRed/LeafGreen)0104 (Diamond/Pearl)0104 (Platinum)0022 (HeartGold/SoulSilver)0036 (X/Y — Central Kalos)0163 (Omega Ruby/Alpha Sapphire)0025 (Sun/Moon — Alola dex)0032 (U.Sun/U.Moon — Alola dex)0025 (Let's Go Pikachu/Let's Go Eevee)0194 (Sword/Shield)0104 (Brilliant Diamond/Shining Pearl)0056 (Legends: Arceus)0074 (Scarlet/Violet)0085 (The Isle of Armor)0021 (The Teal Mask),2 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"Fairy, Field","50% male, 50% female","10				(2,314–2,570 steps)",35,55,40,50,50,90,320
Raichu,0026,Electric,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),1. StaticLightning Rod (hidden ability),0026 (Yellow/Red/Blue)0023 (Gold/Silver/Crystal)0157 (Ruby/Sapphire/Emerald)0026 (FireRed/LeafGreen)0105 (Diamond/Pearl)0105 (Platinum)0023 (HeartGold/SoulSilver)0037 (X/Y — Central Kalos)0164 (Omega Ruby/Alpha Sapphire)0026 (Sun/Moon — Alola dex)0033 (U.Sun/U.Moon — Alola dex)0026 (Let's Go Pikachu/Let's Go Eevee)0195 (Sword/Shield)0105 (Brilliant Diamond/Shining Pearl)0057 (Legends: Arceus)0075 (Scarlet/Violet)0086 (The Isle of Armor)0022 (The Teal Mask),3 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),243,Medium Fast,"Fairy, Field","50% male, 50% female","10				(2,314–2,570 steps)",60,90,55,90,80,110,485
Sandshrew,0027,Ground,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),1. Sand VeilSand Rush (hidden ability),0027 (Yellow/Red/Blue)0048 (Gold/Silver/Crystal)0112 (Ruby/Sapphire/Emerald)0027 (FireRed/LeafGreen)0048 (HeartGold/SoulSilver)0113 (Black 2/White 2)0097 (X/Y — Mountain Kalos)0117 (Omega Ruby/Alpha Sapphire)0251 (Sun/Moon — Alola dex)0328 (U.Sun/U.Moon — Alola dex)0027 (Let's Go Pikachu/Let's Go Eevee)0168 (The Isle of Armor)0116 (The Teal Mask)0155 (The Indigo Disk),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",50,75,85,20,30,40,300
Sandslash,0028,Ground,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. Sand VeilSand Rush (hidden ability),0028 (Yellow/Red/Blue)0049 (Gold/Silver/Crystal)0113 (Ruby/Sapphire/Emerald)0028 (FireRed/LeafGreen)0049 (HeartGold/SoulSilver)0114 (Black 2/White 2)0098 (X/Y — Mountain Kalos)0118 (Omega Ruby/Alpha Sapphire)0252 (Sun/Moon — Alola dex)0329 (U.Sun/U.Moon — Alola dex)0028 (Let's Go Pikachu/Let's Go Eevee)0169 (The Isle of Armor)0117 (The Teal Mask)0156 (The Indigo Disk),2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Field,"50% male, 50% female","20				(4,884–5,140 steps)",75,100,110,45,55,65,450
Nidoran♀,0029,Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),1. Poison Point2. RivalryHustle (hidden ability),0029 (Red/Blue/Yellow)0095 (Gold/Silver/Crystal)0029 (FireRed/LeafGreen)0095 (HeartGold/SoulSilver)0104 (X/Y — Coastal Kalos)0029 (Let's Go Pikachu/Let's Go Eevee)0065 (The Crown Tundra),1 HP,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","0% male, 100% female","20				(4,884–5,140 steps)",55,47,52,40,40,41,275
Nidorina,0030,Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),1. Poison Point2. RivalryHustle (hidden ability),0030 (Red/Blue/Yellow)0096 (Gold/Silver/Crystal)0030 (FireRed/LeafGreen)0096 (HeartGold/SoulSilver)0105 (X/Y — Coastal Kalos)0030 (Let's Go Pikachu/Let's Go Eevee)0066 (The Crown Tundra),2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,Undiscovered,"0% male, 100% female","20				(4,884–5,140 steps)",70,62,67,55,55,56,365
Nidoqueen,0031,Poison Ground,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),1. Poison Point2. RivalrySheer Force (hidden ability),0031 (Red/Blue/Yellow)0097 (Gold/Silver/Crystal)0031 (FireRed/LeafGreen)0097 (HeartGold/SoulSilver)0106 (X/Y — Coastal Kalos)0031 (Let's Go Pikachu/Let's Go Eevee)0067 (The Crown Tundra),3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,Undiscovered,"0% male, 100% female","20				(4,884–5,140 steps)",90,92,87,75,85,76,505
Nidoran♂,0032,Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),1. Poison Point2. RivalryHustle (hidden ability),0032 (Red/Blue/Yellow)0098 (Gold/Silver/Crystal)0032 (FireRed/LeafGreen)0098 (HeartGold/SoulSilver)0107 (X/Y — Coastal Kalos)0032 (Let's Go Pikachu/Let's Go Eevee)0068 (The Crown Tundra),1 Attack,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","100% male, 0% female","20				(4,884–5,140 steps)",46,57,40,40,40,50,273
Nidorino,0033,Poison,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. Poison Point2. RivalryHustle (hidden ability),0033 (Red/Blue/Yellow)0099 (Gold/Silver/Crystal)0033 (FireRed/LeafGreen)0099 (HeartGold/SoulSilver)0108 (X/Y — Coastal Kalos)0033 (Let's Go Pikachu/Let's Go Eevee)0069 (The Crown Tundra),2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","100% male, 0% female","20				(4,884–5,140 steps)",61,72,57,55,55,65,365
Nidoking,0034,Poison Ground,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),1. Poison Point2. RivalrySheer Force (hidden ability),0034 (Red/Blue/Yellow)0100 (Gold/Silver/Crystal)0034 (FireRed/LeafGreen)0100 (HeartGold/SoulSilver)0109 (X/Y — Coastal Kalos)0034 (Let's Go Pikachu/Let's Go Eevee)0070 (The Crown Tundra),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,"Field, Monster","100% male, 0% female","20				(4,884–5,140 steps)",81,102,77,85,75,85,505
Clefairy,0035,Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),1. Cute Charm2. Magic GuardFriend Guard (hidden ability),0035 (Yellow/Red/Blue)0041 (Gold/Silver/Crystal)0035 (FireRed/LeafGreen)0100 (Diamond/Pearl)0100 (Platinum)0041 (HeartGold/SoulSilver)0089 (Black 2/White 2)0211 (Sun/Moon — Alola dex)0273 (U.Sun/U.Moon — Alola dex)0035 (Let's Go Pikachu/Let's Go Eevee)0255 (Sword/Shield)0100 (Brilliant Diamond/Shining Pearl)0200 (Legends: Arceus)0044 (The Crown Tundra)0152 (The Teal Mask),2 HP,"150 (19.6% with PokéBall, full HP)",140 (higher than normal),113,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",70,45,48,60,65,35,323
Clefable,0036,Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),1. Cute Charm2. Magic GuardUnaware (hidden ability),0036 (Yellow/Red/Blue)0042 (Gold/Silver/Crystal)0036 (FireRed/LeafGreen)0101 (Diamond/Pearl)0101 (Platinum)0042 (HeartGold/SoulSilver)0090 (Black 2/White 2)0212 (Sun/Moon — Alola dex)0274 (U.Sun/U.Moon — Alola dex)0036 (Let's Go Pikachu/Let's Go Eevee)0256 (Sword/Shield)0101 (Brilliant Diamond/Shining Pearl)0201 (Legends: Arceus)0045 (The Crown Tundra)0153 (The Teal Mask),3 HP,"25 (3.3% with PokéBall, full HP)",140 (higher than normal),217,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",95,70,73,95,90,60,483
Vulpix,0037,Fire,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),1. Flash FireDrought (hidden ability),0037 (Yellow/Red/Blue)0125 (Gold/Silver/Crystal)0153 (Ruby/Sapphire/Emerald)0037 (FireRed/LeafGreen)0127 (HeartGold/SoulSilver)0248 (Black 2/White 2)0160 (Omega Ruby/Alpha Sapphire)0253 (Sun/Moon — Alola dex)0330 (U.Sun/U.Moon — Alola dex)0037 (Let's Go Pikachu/Let's Go Eevee)0068 (Sword/Shield)0168 (Legends: Arceus)0037 (The Teal Mask)0157 (The Indigo Disk),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,Field,"25% male, 75% female","20				(4,884–5,140 steps)",38,41,40,50,65,65,299
Ninetales,0038,Fire,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),1. Flash FireDrought (hidden ability),0038 (Yellow/Red/Blue)0126 (Gold/Silver/Crystal)0154 (Ruby/Sapphire/Emerald)0038 (FireRed/LeafGreen)0128 (HeartGold/SoulSilver)0249 (Black 2/White 2)0161 (Omega Ruby/Alpha Sapphire)0254 (Sun/Moon — Alola dex)0331 (U.Sun/U.Moon — Alola dex)0038 (Let's Go Pikachu/Let's Go Eevee)0069 (Sword/Shield)0169 (Legends: Arceus)0038 (The Teal Mask)0158 (The Indigo Disk),"1 Sp. Def, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20				(4,884–5,140 steps)",73,76,75,81,100,100,505
Jigglypuff,0039,Normal Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Cute Charm2. CompetitiveFriend Guard (hidden ability),0039 (Red/Blue/Yellow)0044 (Gold/Silver/Crystal)0138 (Ruby/Sapphire/Emerald)0039 (FireRed/LeafGreen)0044 (HeartGold/SoulSilver)0282 (Black 2/White 2)0120 (X/Y — Mountain Kalos)0143 (Omega Ruby/Alpha Sapphire)0135 (Sun/Moon — Alola dex)0168 (U.Sun/U.Moon — Alola dex)0039 (Let's Go Pikachu/Let's Go Eevee)0060 (Scarlet/Violet)0012 (The Isle of Armor),2 HP,"170 (22.2% with PokéBall, full HP)",50 (normal),95,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",115,45,20,45,25,20,270
Wigglytuff,0040,Normal Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),1. Cute Charm2. CompetitiveFrisk (hidden ability),0040 (Red/Blue/Yellow)0045 (Gold/Silver/Crystal)0139 (Ruby/Sapphire/Emerald)0040 (FireRed/LeafGreen)0045 (HeartGold/SoulSilver)0283 (Black 2/White 2)0121 (X/Y — Mountain Kalos)0144 (Omega Ruby/Alpha Sapphire)0136 (Sun/Moon — Alola dex)0169 (U.Sun/U.Moon — Alola dex)0040 (Let's Go Pikachu/Let's Go Eevee)0061 (Scarlet/Violet)0013 (The Isle of Armor),3 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),218,Fast,Fairy,"25% male, 75% female","10				(2,314–2,570 steps)",140,70,45,85,50,45,435
Zubat,0041,Poison Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),1. Inner FocusInfiltrator (hidden ability),0041 (Yellow/Red/Blue)0037 (Gold/Silver/Crystal)0063 (Ruby/Sapphire/Emerald)0041 (FireRed/LeafGreen)0028 (Diamond/Pearl)0028 (Platinum)0037 (HeartGold/SoulSilver)0061 (Black 2/White 2)0145 (X/Y — Central Kalos)0065 (Omega Ruby/Alpha Sapphire)0068 (Sun/Moon — Alola dex)0080 (U.Sun/U.Moon — Alola dex)0041 (Let's Go Pikachu/Let's Go Eevee)0028 (Brilliant Diamond/Shining Pearl)0034 (Legends: Arceus)0144 (The Crown Tundra),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",40,45,35,30,40,55,245
Golbat,0042,Poison Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),1. Inner FocusInfiltrator (hidden ability),0042 (Yellow/Red/Blue)0038 (Gold/Silver/Crystal)0064 (Ruby/Sapphire/Emerald)0042 (FireRed/LeafGreen)0029 (Diamond/Pearl)0029 (Platinum)0038 (HeartGold/SoulSilver)0062 (Black 2/White 2)0146 (X/Y — Central Kalos)0066 (Omega Ruby/Alpha Sapphire)0069 (Sun/Moon — Alola dex)0081 (U.Sun/U.Moon — Alola dex)0042 (Let's Go Pikachu/Let's Go Eevee)0029 (Brilliant Diamond/Shining Pearl)0035 (Legends: Arceus)0145 (The Crown Tundra),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,Flying,"50% male, 50% female","15				(3,599–3,855 steps)",75,80,70,65,75,90,455
